YDR293C	1600	1600	0
YDR294C	828	824	4
YDR295C	441	440	2
YDR296W	343	334	9
YDR297W	779	779	0
YDR298C	1302	1300	2
YDR299W	1439	1437	2
YDR300C	765	764	1
YDR301W	533	533	0
YDR302W	470	469	1
YDR303C	652	653	0
YDR304C	2091	2088	3
YDR305C	348	321	27
YDR306C	303	298	5
tV(CAC)D	0	0	0
YDR307W	278	250	28
YDR308C	317	316	1
YDR309C	732	731	1
YDR310C	986	979	7
YDR311W	378	378	1
YDR312W	946	946	0
YDR313C	85	85	0
YDR314C	117	115	2
YDR315C	177	163	14
YDR316W	565	564	1
tF(GAA)D	3	3	0
YDR317W	93	36	57
YDR318W	234	193	41
YDR319C	235	225	11
YDR320C	426	408	18
YDR320C-A	125	134	5
YDR320W-B	3	4	13
YDR321W	1986	1985	1
YDR322W	277	277	1
YDR322C-A	311	309	2
YDR323C	192	191	1
YDR324C	1667	1667	0
YDR325W	419	415	4
YDR326C	966	964	3
YDR327W	42	0	521
YDR328C	1719	2197	1
YDR329C	452	452	0
YDR330W	307	306	1
YDR331W	335	334	1
YDR332W	260	250	11
YDR333C	685	684	1
YDR334W	812	798	14
YDR335W	1435	1431	4
YDR336W	220	206	14
YDR337W	473	472	3
YDR338C	235	232	4
YDR339C	1844	1843	1
tX(XXX)D	3	4	0
YDR340W	10	3	8
YDR341C	3233	3235	0
YDR342C	5	2	3
YDR343C	2	2	0
YDR344C	19	13	6
YDR345C	2922	2912	10
YDR346C	2700	2697	4
YDR347W	636	633	3
YDR348C	425	425	0
YDR349C	642	630	12
tM(CAU)D	4	4	0
YDR350C	206	206	0
YDR351W	491	486	5
YDR352W	339	324	15
YDR353W	3180	3175	5
YDR354W	252	332	1
YDR354C-A	0	0	81
YDR355C	0	0	40
YDR356W	1197	1236	1
YDR357C	189	169	20
YDR358W	264	261	3
YDR359C	552	579	8
YDR360W	9	0	44
YDR361C	1715	1706	9
YDR362C	386	370	16
YDR363W	537	537	0
tK(CUU)D1	0	0	0
YDR363W-A	1284	1281	3
YDR364C	350	345	5
YDR365C	4397	4397	0
YDR366C	27	12	18
YDR367W	322	323	2
YDR368W	645	620	25
YDR369C	232	223	9
YDR370C	482	481	2
YDR371W	214	246	4
YDR371C-A	0	0	36
YDR372C	2297	2297	0
YDR373W	415	412	3
YDR374C	5	4	1
YDR374W-A	39	38	1
YDR375C	193	182	11
YDR376W	468	460	8
YDR377W	274	271	3
YDR378C	456	455	1
YDR379W	571	561	10
YDR379C-A	45	45	0
YDR380W	142	50	92
YDR381W	1745	1745	0
YDR381C-A	178	173	6
YDR382W	16083	16074	10
YDR383C	226	162	64
YDR384C	471	467	4
YDR385W	1526	1528	0
YDR386W	163	163	0
YDR387C	232	228	4
YDR388W	1740	1735	5
YDR389W	506	506	0
YDR390C	629	629	0
tG(CCC)D	3	3	0
YDR391C	218	218	0
YDR392W	362	361	1
YDR393W	412	364	48
YDR394W	1180	1180	0
YDR395W	1454	1453	2
YDR396W	154	1	563
YDR397C	61	468	3
YDR398W	1840	1828	12
YDR399W	2412	2406	6
YDR400W	371	366	5
YDR401W	0	3	6
YDR402C	19	8	20
YDR403W	37	23	14
YDR404C	431	424	7
YDR405W	435	432	3
YDR406W	219	205	14
YDR406W-A	5	2	6
YDR407C	642	645	1
YDR408C	908	880	28
YDR409W	303	266	37
YDR410C	341	321	20
YDR411C	436	433	3
YDR412W	164	1655	1
YDR413C	3	1	1494
YDR414C	208	185	23
YDR415C	241	222	19
YDR416W	549	511	38
YDR417C	14	4	10544
YDR418W	2440	12967	3
YDR419W	286	279	7
tS(AGA)D3	4	4	0
YDR420W	1188	1186	2
YDR421W	320	313	7
YDR422C	381	381	0
YDR423C	487	480	7
